                   Not found ! - 
                   Not found ! - 
abeyance                       中止
impunity                     免受处罚
incentive                   刺激，诱因
incessant                    无间断的
inconsequential             不合逻辑的；不重要的
infirm                  虚弱的；优柔寡断的
ingenuous                 天真的；坦白的
ingenuous                 天真的；坦白的
innocuous             不会引起恶意的；无害的
innovative   Not found ! - innovative
inquisitive                  过分好奇的
insight                       洞察力
institute                建立；制定；机构
intensify                      加强
intrinsic                  固有的内在的
justify                   证明⋯⋯合理性
latitude                       自由
liability              责任；障碍 不利条件
mastery                      n 精通
meager                      a 贫乏的
merited                    a. 应得的
methodical                 a.有条理的
minute                        nan
misfortune                     不幸
monotonous   Not found ! - monotonous
movement                    乐章；运动
movement                    乐章；运动
myopic                      缺乏远见的
neutralize                 中和；使无效
novel                      新奇的；小说
novel                      新奇的；小说
novel                      新奇的；小说
novice                        新手 
nurture                提供营养；培养；促进
obsequious                 谄媚的奴性的
original                  创新的；最初的
original                  创新的；最初的
outgrowth                      结果
palliate                    减轻，平息
palyful      Not found ! - palyful
paradigm                       典范
parody                      模仿以嘲弄
perceptive              敏锐的；洞察力强的
perfunctory              敷衍的；不感兴趣的
pragmatic               实用主义的 务实的
pragmatic               实用主义的 务实的
precedent                  先例；先前的
preeminent                优秀的，重要的
preoccupation                   非常关心
preoccupation                   非常关心
prerequisite                先决条件、前提
prestige                       声望
presumptuous                放肆的；傲慢的
prevail                        盛行
prevalent                     流行的
profusion                   丰富；挥霍
project                  方案；凸出；预测
propensity                  癖好；倾向
prophetic                 预言的；预示的
propriety                 礼节；适当得体
quality      Not found ! - quality
quixotic                    不切实际的
rational     Not found ! - rational
redundant                     多余的
redundant                     多余的
reflect                  反射；显露；思考
refractory               倔强的，不顺从的
relentless           残酷无情的；固执不妥协的
relevant                 有关系的；重要的
religion                  信仰；虔诚忠诚
reluctant                    不情愿的
repress                     镇压；阻止
repudiate                 否认；拒绝接受
restitution                   补偿赔偿
retrieve                       找回
reverberate                   回响回荡
rudimentary               初始的；最基础的
salutary                      有益的
scourge                        祸害
sensitive                     敏感的
sensitive                     敏感的
serene                    镇静的，安静的
severe                    严厉的；艰难的
soak                           浸泡
solicitous            关心挂念的；迫切渴望的
sophisticated   Not found ! - sophisticated
soporific             安眠药；催眠的；困倦的
specific                  特有的；明确的
specious               似是而非的，欺骗性的
spurious                      伪造的
stabilize                     使稳定
stipulate                 特定要求，规定
stratagem                      谋略
stratagem                      谋略
strength                 强度；浓度；力量
subsidiary             次要的；起辅助作用的
substantial             物质的；有重大意义的
substitute                 替代品；取代
substitute                 替代品；取代
superficial                 表面的肤浅的
superfluous                    多余的
superfluous                    多余的
supplant                  排挤；篡夺位置
supplement                     增补
surrogate                     替代品
susceptibility             易受感染的性质或状态
synthesis                      合成
tactile                      有触觉的
tangible                 可感知的；确凿的
tedious                     冗长乏味的
temporal                      世俗的
tentative                暂时性的，尝试的
therapeutic                    治疗的
timely                  及时的；恰到好处的
transitory                    短暂的
unassailable            无可争辩的，无可亵渎的
undermine                      削弱
underscore                 下划线；强调
uphold                         支持
vex                           使烦恼
vindictive                    复仇的
vocation                       职业
vulnerable              易受攻击的、脆弱的
wicked       Not found ! - wicked
willful                   固执的；故意的
wrongheaded          固执己见的，坚持错误观点的
